index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Pd-2@Pt,-6.88983493,-4.64581275,-4.70334021,-2.78017516,-1.743637832,0.894437924,3.05333979,0.2603
Pd-2@Au,-6.87581106,-4.54217634,-4.6603547,-2.85678232,-1.549572567,0.896546933,2.872462723,-0.2236
Pd-1@Fe,-5.84830049,-3.95324171,-3.52418625,-2.45251823,-1.977503606,0.881016802,3.153875248,-0.6508
Pd-1@Co,-6.14147497,-4.10435823,-3.79179046,-2.51334282,-1.991841318,0.89786993,3.061659598,-0.8065
Pd-1@Ni,-6.51242792,-4.31452432,-4.20699355,-2.63923726,-1.83450037,0.898405121,2.95931575,0.2892
Pd-1@Cu,-6.69940224,-4.4235908,-4.42995313,-2.78541189,-1.615873585,0.902824533,2.830201267,-0.2661
Pd-1@Ru,-6.44007377,-4.4311595,-4.07793591,-2.57917741,-2.03608513,0.869787154,3.000259316,0.7257
Pd-1@Rh,-6.72905098,-4.58182304,-4.50254435,-2.69207961,-1.782064708,0.86732082,3.009161631,0.3029
Pd-1@Pd,-7.04308794,-4.6877178,-4.81449147,-2.82489365,-1.601209936,0.892344477,2.731866386,0.1743
Pd-1@Ag,-6.83775571,-4.52518462,-4.62520512,-2.8583589,-1.474527776,0.901650009,2.613996647,-0.293
Pd-1@Os,-6.36831813,-4.49533357,-3.99593101,-2.61105895,-2.149408002,0.888930368,3.307304228,-0.0308
Pd-1@Ir,-6.62778088,-4.6165244,-4.40072172,-2.69927193,-2.026665863,0.89759935,2.965502949,0.4412
Pd-1@Pt,-6.98722534,-4.70479313,-4.77989599,-2.80191148,-1.697350115,0.892356932,2.924334873,0.2432
Pd-1@Au,-6.97916335,-4.60715141,-4.73621527,-2.8794402,-1.4905947,0.897289646,2.728044092,-0.215
Pd@Fe,-5.90528939,-3.97361856,-3.54325998,-2.4679231,-1.938736402,0.889611005,3.067461396,-0.7771
Pd@Co,-6.21294583,-4.1358436,-3.82895559,-2.53665038,-1.941581107,0.897424965,2.942910725,-0.8045
Pd@Ni,-6.59655116,-4.35394506,-4.2515848,-2.66736447,-1.785793608,0.894761118,2.837298421,0.2524
Pd@Cu,-6.82409316,-4.49411842,-4.51143578,-2.81645415,-1.562348021,0.904284837,2.711590674,-0.2035
Pd@Ru,-6.48168623,-4.46106302,-4.09958901,-2.581497,-2.005061228,0.889555177,2.880410818,0.6947
Pd@Rh,-6.80484695,-4.63005608,-4.55953353,-2.70682119,-1.748161984,0.881314883,2.863307345,0.3812
Pd@Pd,-7.15365142,-4.74950169,-4.89638525,-2.84857394,-1.561036869,0.893338061,2.614261785,0.173
Pd@Ag,-6.96565238,-4.60964117,-4.71653979,-2.89254852,-1.41898962,0.901600966,2.487337105,-0.2902
Pd@Os,-6.39846497,-4.51734509,-4.01213514,-2.6086312,-2.1094868,0.881440289,3.170230234,0.0845
Pd@Ir,-6.67300987,-4.65093253,-4.43689212,-2.70344231,-1.992982927,0.901924167,2.842251885,0.4556
Pd@Pt,-7.07925131,-4.75956622,-4.8492066,-2.82097571,-1.659469007,0.890177697,2.820521293,0.2312
Pd@Au,-7.08438126,-4.66994945,-4.80739927,-2.9020379,-1.448547271,0.896567116,2.630680638,-0.2182
Pd+1@Fe,-5.96789868,-3.99071956,-3.56617905,-2.48025739,-1.92527041,0.895361621,2.912442324,-0.7252
Pd+1@Co,-6.29573828,-4.17945192,-3.87564689,-2.56161894,-1.902376918,0.898580624,2.831232994,-0.7955
Pd+1@Ni,-6.67940068,-3.75062002,-4.29234707,-2.68188077,-1.74145841,0.89758062,2.731477805,0.2632
Pd+1@Cu,-6.94230629,-4.55920947,-4.58699792,-2.84529214,-1.514971025,0.899996903,2.608755622,-0.1384
Pd+1@Ru,-6.52779984,-4.49388938,-4.12788437,-2.59116651,-1.966180514,0.879748578,2.753742239,0.785
Pd+1@Rh,-6.87478627,-4.67556858,-4.60970769,-2.72188229,-1.705547176,0.8620534,2.767997467,0.4626
Pd+1@Pd,-7.26252826,-4.80921459,-4.97353321,-2.86849874,-1.52070525,0.894046264,2.505228387,0.1744
Pd+1@Ag,-7.09854053,-4.69028836,-4.80412935,-2.92570427,-1.372320846,0.900751526,2.374518645,-0.2991
Pd+1@Os,-6.42446669,-4.53851658,-4.02318596,-2.61138585,-2.089983414,0.888022657,3.063517171,-0.0592
Pd+1@Ir,-6.71724508,-4.68812713,-4.47169986,-2.7103284,-1.967366521,0.900752829,2.735790671,0.4333
Pd+1@Pt,-7.16311186,-4.80765541,-4.90940714,-2.83836298,-1.626730021,0.887314671,2.721810974,0.2139
Pd+1@Au,-7.18934085,-4.73026816,-4.87551582,-2.92508962,-1.401969796,0.90253968,2.554993705,-0.227
